method,bits,seed,task,recall_at_1,recall_at_5,recall_at_10,n_queries
qjl,1,0,T1_text2image,0.045,0.111,0.16,1000
qjl,1,0,T2_image2text,0.093,0.206,0.268,1000
qjl,1,0,T3_text2text,0.268,0.437,0.509,1000
qjl,1,0,T4_image2image,0.427,0.785,0.886,1000
qjl,1,1,T1_text2image,0.035,0.1,0.145,1000
qjl,1,1,T2_image2text,0.073,0.188,0.251,1000
qjl,1,1,T3_text2text,0.253,0.398,0.471,1000
qjl,1,1,T4_image2image,0.448,0.81,0.893,1000
qjl,1,2,T1_text2image,0.044,0.1,0.153,1000
qjl,1,2,T2_image2text,0.082,0.194,0.25,1000
qjl,1,2,T3_text2text,0.256,0.418,0.492,1000
qjl,1,2,T4_image2image,0.438,0.785,0.886,1000
qjl,1,3,T1_text2image,0.038,0.113,0.158,1000
qjl,1,3,T2_image2text,0.07,0.182,0.263,1000
qjl,1,3,T3_text2text,0.263,0.45,0.512,1000
qjl,1,3,T4_image2image,0.459,0.799,0.893,1000
qjl,1,4,T1_text2image,0.046,0.105,0.152,1000
qjl,1,4,T2_image2text,0.064,0.17,0.241,1000
qjl,1,4,T3_text2text,0.254,0.4,0.48,1000
qjl,1,4,T4_image2image,0.416,0.772,0.885,1000
qjl,2,0,T1_text2image,0.084,0.179,0.242,1000
qjl,2,0,T2_image2text,0.148,0.306,0.385,1000
qjl,2,0,T3_text2text,0.295,0.456,0.522,1000
qjl,2,0,T4_image2image,0.558,0.901,0.961,1000
qjl,2,1,T1_text2image,0.067,0.172,0.231,1000
qjl,2,1,T2_image2text,0.163,0.309,0.41,1000
qjl,2,1,T3_text2text,0.271,0.427,0.499,1000
qjl,2,1,T4_image2image,0.59,0.906,0.957,1000
qjl,2,2,T1_text2image,0.083,0.195,0.258,1000
qjl,2,2,T2_image2text,0.134,0.306,0.409,1000
qjl,2,2,T3_text2text,0.262,0.436,0.503,1000
qjl,2,2,T4_image2image,0.563,0.895,0.954,1000
qjl,2,3,T1_text2image,0.09,0.192,0.259,1000
qjl,2,3,T2_image2text,0.141,0.304,0.411,1000
qjl,2,3,T3_text2text,0.278,0.445,0.522,1000
qjl,2,3,T4_image2image,0.563,0.902,0.958,1000
qjl,2,4,T1_text2image,0.069,0.185,0.25,1000
qjl,2,4,T2_image2text,0.159,0.317,0.405,1000
qjl,2,4,T3_text2text,0.263,0.421,0.504,1000
qjl,2,4,T4_image2image,0.548,0.899,0.962,1000
qjl,3,0,T1_text2image,0.104,0.242,0.312,1000
qjl,3,0,T2_image2text,0.177,0.387,0.491,1000
qjl,3,0,T3_text2text,0.3,0.459,0.532,1000
qjl,3,0,T4_image2image,0.615,0.948,0.986,1000
qjl,3,1,T1_text2image,0.105,0.235,0.303,1000
qjl,3,1,T2_image2text,0.193,0.385,0.494,1000
qjl,3,1,T3_text2text,0.276,0.431,0.507,1000
qjl,3,1,T4_image2image,0.638,0.944,0.983,1000
qjl,3,2,T1_text2image,0.103,0.242,0.325,1000
qjl,3,2,T2_image2text,0.19,0.399,0.498,1000
qjl,3,2,T3_text2text,0.269,0.43,0.517,1000
qjl,3,2,T4_image2image,0.627,0.938,0.979,1000
qjl,3,3,T1_text2image,0.1,0.242,0.318,1000
qjl,3,3,T2_image2text,0.209,0.42,0.523,1000
qjl,3,3,T3_text2text,0.294,0.461,0.536,1000
qjl,3,3,T4_image2image,0.624,0.936,0.978,1000
qjl,3,4,T1_text2image,0.106,0.234,0.3,1000
qjl,3,4,T2_image2text,0.214,0.403,0.493,1000
qjl,3,4,T3_text2text,0.262,0.433,0.511,1000
qjl,3,4,T4_image2image,0.613,0.945,0.98,1000
qjl,4,0,T1_text2image,0.128,0.272,0.353,1000
qjl,4,0,T2_image2text,0.222,0.458,0.55,1000
qjl,4,0,T3_text2text,0.294,0.468,0.54,1000
qjl,4,0,T4_image2image,0.665,0.958,0.989,1000
qjl,4,1,T1_text2image,0.114,0.267,0.336,1000
qjl,4,1,T2_image2text,0.224,0.447,0.555,1000
qjl,4,1,T3_text2text,0.282,0.432,0.518,1000
qjl,4,1,T4_image2image,0.671,0.95,0.99,1000
qjl,4,2,T1_text2image,0.127,0.282,0.36,1000
qjl,4,2,T2_image2text,0.225,0.447,0.551,1000
qjl,4,2,T3_text2text,0.267,0.44,0.512,1000
qjl,4,2,T4_image2image,0.678,0.961,0.99,1000
qjl,4,3,T1_text2image,0.133,0.278,0.355,1000
